Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C35165,2.54-2*20PPC104,BOOMELE(Boom Precision Elec),"Through Hole,P=2.54mm",,Female Header 40 Position 2.54mm Pitch Dual Row Through Hole,yes,1,1,1,1.0394,1.04,https://www.lcsc.com/product-detail/C35165.html
2,C7461859,SHT41A-BD1B-R2,Sensirion,-,,-,-,1,1,1,2.2096,2.21,-
3,C114949,RC0402JR-07470RL,YAGEO,0402,,62.5mW 470Ω 50V Thick Film Resistor ±100ppm/℃ ±5% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0009,0.09,https://www.lcsc.com/product-detail/C114949.html
4,C20624804,M6027-01,MUP,SMD,,Micro SD card (TF card) Surface Mount,yes,1,1,1,0.5264,0.53,https://www.lcsc.com/product-detail/C20624804.html
5,C2977587,2.54-2*5,ZHOURI,"Through Hole,P=2.54mm",,Female Header 10 Position 2.54mm Pitch Dual Row Through Hole -40℃~+105℃,yes,5,5,5,0.1185,0.59,https://www.lcsc.com/product-detail/C2977587.html
6,C49304899,100uF35V8x11GF,Econd,"Through Hole,D8xL11mm",,"±20% 35V 100uF 170mΩ Through Hole,D8xL11mm Aluminum Electrolytic Capacitors RoHS",yes,20,20,20,0.0281,0.56,https://www.lcsc.com/product-detail/C49304899.html
7,C5365915,KH-CR2032-2-1,kinghelm,Through Hole,,Battery base Tin Brass -55℃~+105℃ CR2032 Through Hole Blade Type Power Connector Assemblies RoHS,yes,5,5,5,0.1366,0.68,https://www.lcsc.com/product-detail/C5365915.html
8,C722469,DS3231SN#,MAXIM,SOIC-16-300mil,,Built-in Yes SOIC-16-300mil Real Time Clocks RoHS,yes,1,1,1,6.0330,6.03,https://www.lcsc.com/product-detail/C722469.html
9,C727081,1N4007,TWGMC,SMA(DO-214AC),,Diode Independent 1kV 1A Surface Mount SMA(DO-214AC),yes,50,50,50,0.0091,0.46,https://www.lcsc.com/product-detail/C727081.html
10,C35449,SRD-05VDC-SL-C,Songle Relay,"Through Hole,19.2x15.6mm",,"Power Relay 1 Form C: 1C (SPDT-CO) 5V Coil Through Hole,15.6x19.2mm",yes,2,1,1,0.4880,0.98,https://www.lcsc.com/product-detail/C35449.html
11,C163961,WR08X121JTL,Walsin,0805,,125mW 120Ω 150V Thick Film Resistor ±100ppm/℃ ±5% 0805 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0024,0.24,https://www.lcsc.com/product-detail/C163961.html
12,C8963,SP3485EN-L/TR,MaxLinear,SOIC-8,,"3.3V Transceiver 10Mbps 32 Half-Duplex SOIC-8 Drivers, Receivers, Transceivers RoHS",yes,2,2,2,0.3085,0.62,https://www.lcsc.com/product-detail/C8963.html
13,C271438,VT1H0R1MB054000CE0,huawei group,"SMD,D4xL5.4mm",,0.1uF ±20% 50V Aluminum Electrolytic Capacitors 1000hrs@105℃,yes,20,20,20,0.0406,0.81,https://www.lcsc.com/product-detail/C271438.html
14,C2976905,CA45A-P-6.3V-10UF-K,XY(Zhenhua XinYun),"SMD,1.25x2mm",,"10uF ±10% 6.3V Tantalum Capacitors SMD,1.25x2mm",yes,5,5,5,0.1137,0.57,https://www.lcsc.com/product-detail/C2976905.html
15,C2146,S8050 J3Y(RANGE:200-350),JSCJ,SOT-23,,Bipolar (BJT) Transistor NPN 25V 0.5A 150MHz 0.3W Surface Mount SOT-23,yes,50,50,50,0.0133,0.67,https://www.lcsc.com/product-detail/C2146.html
16,C4410,1206W4F1001T5E,UNI-ROYAL,1206,,1kΩ ±1% 250mW 1206 Thick Film Resistor,yes,100,100,100,0.0045,0.45,https://www.lcsc.com/product-detail/C4410.html
17,C138706,INA219AIDR,TI,SOIC-8,,0V~26V 10uV 20nA 1 SOIC-8 Current Regulation/Management RoHS,yes,2,1,1,0.9815,1.96,https://www.lcsc.com/product-detail/C138706.html
18,C474950,KF128-5.0-2P,Cixi Kefa Elec,"Through Hole,P=5mm",,2 Position Wire to Board Terminal Block Through Hole 5mm,yes,5,5,5,0.1838,0.92,https://www.lcsc.com/product-detail/C474950.html
19,C347423,LM2596S-ADJ(UMW),UMW,TO-263-5,,150kHz Step-down type Adjustable 1.2V~37V 3A TO-263-5 Voltage Regulators - DC DC Switching Regulators RoHS,yes,1,1,1,0.5504,0.55,https://www.lcsc.com/product-detail/C347423.html
20,C3025164,PC817C,GOODWORK,SMD-4P,,Phototransistor Output 5kVrms 1 Channel SMD-4P,yes,20,20,20,0.0391,0.78,https://www.lcsc.com/product-detail/C3025164.html
21,C400951,CL32A227MQVNNNE,Samsung Electro-Mechanics,1210,,220uF ±20% 6.3V Ceramic Capacitor X5R 1210,yes,1,1,1,1.0069,1.01,https://www.lcsc.com/product-detail/C400951.html
22,C2929505,CYH127-100UH,SHOU HAN,"SMD,12.3x12.3mm",,"1.7A 100uH ±20% 220mΩ SMD,12.3x12.3mm Fixed Inductors RoHS",yes,5,5,5,0.3858,1.93,https://www.lcsc.com/product-detail/C2929505.html
23,C149898,TR0402D10K0Q1025Z,EVER OHMS,0402,,63mW 10kΩ 25V Thin Film Resistor ±0.5% ±25ppm/℃ 0402 Chip Resistor - Surface Mount RoHS,yes,50,50,50,0.0173,0.87,https://www.lcsc.com/product-detail/C149898.html
24,C5349545,MX127S-3.5-04P-GN01-Cu-Y-A,MAX,"Through Hole,P=3.5mm",,4 Position Wire to Board Terminal Block Through Hole 3.5mm,yes,3,1,1,0.4456,1.34,https://www.lcsc.com/product-detail/C5349545.html
25,C99782,RC0603FR-074K7L,YAGEO,0603,,100mW 4.7kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0018,0.18,https://www.lcsc.com/product-detail/C99782.html
26,C119335,MF1/4W-3.3KΩ±1% T,CCO(Chian Chia Elec),"Through Hole,D2.3xL6.5mm",,"3.3kΩ 250mW 250V Metal Film Resistor ±100ppm/℃ ±1% Through Hole,D2.3xL6.5mm Through Hole Resistors RoHS",yes,50,50,50,0.0109,0.55,https://www.lcsc.com/product-detail/C119335.html
27,C52023798,1N5822,HANGYU MICROELECTRONICS,DO-201AD,,40V 1 Independent 525mV@3A 3A DO-201AD Single Diodes RoHS,yes,10,10,10,0.0569,0.57,https://www.lcsc.com/product-detail/C52023798.html
28,C54823945,SHT40-AD1F-R2(TOKMAS),Tokmas,DFN-4(1.5x1.5),,"DFN-4(1.5x1.5) Humidity, Moisture Sensors RoHS",yes,1,1,1,1.2362,1.24,https://www.lcsc.com/product-detail/C54823945.html
