Category,Quantity,Component,Designator,Manufacturer,Part Number,Supplier,Unit Price (USD),MOQ,Link
Computing,1,ESP32-S3 WeAct Studio,U1,WeAct Studio,ESP32-S3-N16R8,AliExpress,6.66,1,https://pt.aliexpress.com/item/1005005592730189.html
Comms,1,SP3485 RS-485 Transceiver,U2,Sipex,SP3485EN-L/TR,LCSC,0.45,1,https://www.lcsc.com/product-detail/RS-485-RS-422-Receivers-Transceivers_MaxLinear-Exar-SP3485EN-L-TR_C6767.html
Power,1,LM2596S-ADJ Buck Converter,U3,UMW,C347423,LCSC,0.57,1,https://www.lcsc.com/product-detail/DC-DC-Converters_UMW-友台半导体-LM2596S-ADJ-UMW_C347423.html
Isolation,4,PC817C Optocoupler,U4-U7,GOODWORK,C3025164,LCSC,0.04,20,https://www.lcsc.com/product-detail/Optoisolators-Transistor-Photovoltaic-Output_GOODWORK-PC817C_C3025164.html
Actuation,2,5V Relay (SRD-05VDC-SL-C),RL1-RL2,Songle,C491,LCSC,0.42,1,https://www.lcsc.com/product-detail/Relays_Songle-Relay-SRD-05VDC-SL-C_C491.html
Sensors,1,INA219 Power Monitor,U8,TI,INA219AIDCNR,LCSC,0.85,1,https://www.lcsc.com/product-detail/Current-Sensors_Texas-Instruments-INA219AIDCNR_C38545.html
Sensors,1,AHT20 Temp/Hum Sensor,U9,ASAIR,AHT20,LCSC,0.65,1,https://www.lcsc.com/product-detail/Temperature-Humidity-Sensors_ASAIR-AHT20_C2683133.html
Clock,1,DS3231 RTC,U10,Maxim,DS3231MZ+,LCSC,1.20,1,https://www.lcsc.com/product-detail/Real-Time-Clocks-RTC_Maxim-Integrated-DS3231MZ_C49163.html
Storage,1,MicroSD Slot (SPI),J1,G-Switch,C96532,LCSC,0.15,1,https://www.lcsc.com/product-detail/SD-Card-Connectors_G-Switch-ST-TF-003A_C96532.html
Connectors,4,KF128-5.0-2P Screw Terminal,J2-J5,KEFA,C474950,LCSC,0.18,5,https://www.lcsc.com/product-detail/Screw-Terminal-Blocks_KEFA-KF128-5.0-2P_C474950.html
PCB,1,Edge Nexus V2 PCB,Main,JLCPCB,Custom,JLCPCB,6.10,5,https://jlcpcb.com
